라운드,몬스터수,소환간격(초),웨이브소환시간(초),기본몬스터개별체력,특수포함총체력,획득가능골드,요구초당피해량(DPS),보스체력,보스보상골드,누적골드,누적골드기준소환횟수,A기준하이합성DPS,A원페어합성DPS,A로열합성DPS,요구하이타워수,요구원페어타워수,요구로열타워수
33,38,0.447,17.00,457.14,19656.89,1910,982.84,0.00,0,20515,820.60,29.89,116.36,26298.70,33,9,1
34,39,0.436,17.00,498.28,21924.29,2048,1096.22,0.00,0,22563,902.52,29.89,116.36,26298.70,37,10,1
35,40,0.425,17.00,543.12,24250.51,2256,1212.53,0.00,0,24819,992.76,29.89,116.36,26298.70,41,11,1
36,41,0.415,17.00,592.01,27025.06,2462,1351.25,0.00,0,27281,1091.24,29.89,116.36,26298.70,46,12,1
37,42,0.405,17.00,645.29,30941.47,2716,1547.07,0.00,0,29997,1199.88,29.89,116.36,26298.70,52,14,1
38,43,0.395,17.00,703.36,34429.57,2937,1721.48,0.00,0,32934,1317.36,29.89,116.36,26298.70,58,15,1
39,44,0.386,17.00,766.66,38448.23,3267,1922.41,0.00,0,36201,1448.04,29.89,116.36,26298.70,65,17,1
40,45,0.378,17.00,835.66,49972.73,4108,2498.64,8356.65,590,40309,1612.36,29.89,116.36,26298.70,84,22,1
41,46,0.370,17.00,1005.10,52064.32,3884,2603.22,0.00,0,44193,1767.72,29.89,116.36,26298.70,88,23,1
42,47,0.362,17.00,1095.56,57845.67,4199,2892.28,0.00,0,48392,1935.68,29.89,116.36,26298.70,97,25,1
43,48,0.354,17.00,1194.16,64245.95,4522,3212.30,0.00,0,52914,2116.56,29.89,116.36,26298.70,108,28,1
44,49,0.347,17.00,1301.64,73021.84,4920,3651.09,0.00,0,57834,2313.36,29.89,116.36,26298.70,123,32,1
45,50,0.340,17.00,1418.79,80516.03,5344,4025.80,0.00,0,63178,2527.12,29.89,116.36,26298.70,135,35,1
46,51,0.333,17.00,1546.48,89308.95,5838,4465.45,0.00,0,69016,2760.64,29.89,116.36,26298.70,150,39,1
47,52,0.327,17.00,1685.66,99032.41,6268,4951.62,0.00,0,75284,3011.36,29.89,116.36,26298.70,166,43,1
48,53,0.321,17.00,1837.37,109782.70,6776,5489.14,0.00,0,82060,3282.40,29.89,116.36,26298.70,184,48,1
49,54,0.315,17.00,2002.73,121665.90,7296,6083.29,0.00,0,89356,3574.24,29.89,116.36,26298.70,204,53,1
50,55,0.309,17.00,2182.98,154882.20,9108,7744.11,21829.76,1100,98464,3938.56,29.89,116.36,26298.70,260,67,1
51,56,0.304,17.00,2602.52,167211.70,8874,8360.59,0.00,0,107338,4293.52,29.89,116.36,26298.70,280,72,1
52,57,0.298,17.00,2836.74,185097.50,9600,9254.88,0.00,0,116938,4677.52,29.89,116.36,26298.70,310,80,1
53,58,0.293,17.00,3092.05,204848.40,10351,10242.42,0.00,0,127289,5091.56,29.89,116.36,26298.70,343,89,1
54,59,0.288,17.00,3370.34,226655.10,11118,11332.75,0.00,0,138407,5536.28,29.89,116.36,26298.70,380,98,1
55,60,0.283,17.00,3673.67,249441.90,12000,12472.10,0.00,0,150407,6016.28,29.89,116.36,26298.70,418,108,1
56,61,0.279,17.00,4004.30,275896.00,12960,13794.80,0.00,0,163367,6534.68,29.89,116.36,26298.70,462,119,1
57,62,0.274,17.00,4364.68,305091.30,14030,15254.57,0.00,0,177397,7095.88,29.89,116.36,26298.70,511,132,1
58,63,0.270,17.00,4757.50,343491.80,15294,17174.59,0.00,0,192691,7707.64,29.89,116.36,26298.70,575,148,1
59,64,0.266,17.00,5185.68,379591.80,16409,18979.59,0.00,0,209100,8364.00,29.89,116.36,26298.70,635,164,1
60,65,0.262,17.00,5652.39,468300.60,19620,23415.03,56523.91,2060,228720,9148.80,29.89,116.36,26298.70,784,202,1
61,66,0.258,17.00,6689.20,502024.60,19537,25101.23,0.00,0,248257,9930.28,29.89,116.36,26298.70,840,216,1
62,67,0.254,17.00,7291.23,554498.10,21021,27724.90,0.00,0,269278,10771.12,29.89,116.36,26298.70,928,239,2
63,68,0.250,17.00,7947.44,612350.30,22711,30617.52,0.00,0,291989,11679.56,29.89,116.36,26298.70,1025,264,2
64,69,0.246,17.00,8662.71,676124.60,24433,33806.23,0.00,0,316422,12656.88,29.89,116.36,26298.70,1131,291,2
65,70,0.243,17.00,9442.36,758693.30,26571,37934.66,0.00,0,342993,13719.72,29.89,116.36,26298.70,1270,327,2
66,71,0.239,17.00,10292.17,837267.80,28560,41863.39,0.00,0,371553,14862.12,29.89,116.36,26298.70,1401,360,2
67,72,0.236,17.00,11218.46,923840.40,30784,46192.02,0.00,0,402337,16093.48,29.89,116.36,26298.70,1546,397,2
68,73,0.233,17.00,12228.13,1019214.00,33059,50960.71,0.00,0,435396,17415.84,29.89,116.36,26298.70,1705,438,2
69,74,0.230,17.00,13328.66,1124272.00,35651,56213.61,0.00,0,471047,18841.88,29.89,116.36,26298.70,1881,484,3
70,75,0.227,17.00,14528.24,1365654.00,41852,68282.71,145282.40,3860,512899,20515.96,29.89,116.36,26298.70,2285,587,3
71,76,0.224,17.00,17085.97,1469394.00,41274,73469.67,0.00,0,554173,22166.92,29.89,116.36,26298.70,2458,632,3
72,77,0.221,17.00,18623.71,1623987.00,45294,81199.36,0.00,0,599467,23978.68,29.89,116.36,26298.70,2717,698,4
73,78,0.218,17.00,20299.84,1790446.00,48660,89522.30,0.00,0,648127,25925.08,29.89,116.36,26298.70,2995,770,4
74,79,0.215,17.00,22126.83,1973713.00,52391,98685.66,0.00,0,700518,28020.72,29.89,116.36,26298.70,3302,849,4
75,80,0.213,17.00,24118.24,2167024.00,56394,108351.20,0.00,0,756912,30276.48,29.89,116.36,26298.70,3625,932,5
76,81,0.210,17.00,26288.89,2388345.00,60584,119417.30,0.00,0,817496,32699.84,29.89,116.36,26298.70,3996,1027,5
77,82,0.207,17.00,28654.89,2631952.00,65160,131597.60,0.00,0,882656,35306.24,29.89,116.36,26298.70,4403,1131,6
78,83,0.205,17.00,31233.83,2900061.00,70037,145003.00,0.00,0,952693,38107.72,29.89,116.36,26298.70,4852,1247,6
79,84,0.202,17.00,34044.88,3239370.00,75901,161968.50,0.00,0,1028594,41143.76,29.89,116.36,26298.70,5419,1392,7
80,85,0.200,17.00,37108.91,3889014.00,88186,194450.70,371089.10,7240,1116780,44671.20,29.89,116.36,26298.70,6506,1672,8
81,86,0.198,17.00,43408.38,4201931.00,87751,210096.50,0.00,0,1204531,48181.24,29.89,116.36,26298.70,7029,1806,8
82,87,0.195,17.00,47315.14,4627421.00,94262,231371.00,0.00,0,1298793,51951.72,29.89,116.36,26298.70,7741,1989,9
83,88,0.193,17.00,51573.50,5105777.00,103075,255288.80,0.00,0,1401868,56074.72,29.89,116.36,26298.70,8541,2194,10
84,89,0.191,17.00,56215.11,5621512.00,110730,281075.60,0.00,0,1512598,60503.92,29.89,116.36,26298.70,9404,2416,11
85,90,0.189,17.00,61274.48,6167277.00,119049,308363.80,0.00,0,1631647,65265.88,29.89,116.36,26298.70,10317,2651,12
86,91,0.187,17.00,66789.19,6875947.00,128963,343797.30,0.00,0,1760610,70424.40,29.89,116.36,26298.70,11502,2955,14
87,92,0.185,17.00,72800.21,7567582.00,138375,378379.10,0.00,0,1898985,75959.40,29.89,116.36,26298.70,12659,3252,15
88,93,0.183,17.00,79352.23,8328017.00,148558,416400.80,0.00,0,2047543,81901.72,29.89,116.36,26298.70,13931,3579,16
89,94,0.181,17.00,86493.94,9164033.00,159512,458201.70,0.00,0,2207055,88282.20,29.89,116.36,26298.70,15330,3938,18
90,95,0.179,17.00,94278.39,10898580.00,183740,544929.10,942783.90,13590,2390795,95631.80,29.89,116.36,26298.70,18231,4683,21
91,96,0.177,17.00,109770.10,11811260.00,184068,590562.90,0.00,0,2574863,102994.52,29.89,116.36,26298.70,19758,5076,23
92,97,0.175,17.00,119649.40,12993920.00,197569,649696.00,0.00,0,2772432,110897.28,29.89,116.36,26298.70,21736,5584,25
93,98,0.173,17.00,130417.80,14463340.00,213798,723166.80,0.00,0,2986230,119449.20,29.89,116.36,26298.70,24194,6215,28
94,99,0.172,17.00,142155.40,15935620.00,232840,796781.10,0.00,0,3219070,128762.80,29.89,116.36,26298.70,26657,6848,31
95,100,0.170,17.00,154949.40,17470550.00,250263,873527.40,0.00,0,3469333,138773.32,29.89,116.36,26298.70,29224,7507,34
96,101,0.168,17.00,168894.90,19211790.00,268505,960589.50,0.00,0,3737838,149513.52,29.89,116.36,26298.70,32137,8256,37
97,102,0.167,17.00,184095.40,21124950.00,288087,1056247.00,0.00,0,4025925,161037.00,29.89,116.36,26298.70,35337,9078,41
98,103,0.165,17.00,200664.00,23226860.00,309016,1161343.00,0.00,0,4334941,173397.64,29.89,116.36,26298.70,38853,9981,45
99,104,0.163,17.00,218723.80,25536000.00,331468,1276800.00,0.00,0,4666409,186656.36,29.89,116.36,26298.70,42716,10973,49
100,105,0.162,17.00,238408.90,30528260.00,381133,1526413.00,2384089.00,25510,5047542,201901.68,29.89,116.36,26298.70,51067,13118,59
