족보,강화레벨,다음강화비용,공격력배율,예상합성초당피해량(DPS),공격특성
트리플,16,3310,45.213,3368.77,탱커·보스 추가 피해
트리플,17,4170,53.351,3975.15,탱커·보스 추가 피해
트리플,18,5254,62.954,4690.68,탱커·보스 추가 피해
트리플,19,6620,74.286,5535.00,탱커·보스 추가 피해
트리플,20,8342,87.658,6531.30,탱커·보스 추가 피해
트리플,21,10510,103.436,7706.94,탱커·보스 추가 피해
트리플,22,13243,122.055,9094.19,탱커·보스 추가 피해
트리플,23,16686,144.025,10731.14,탱커·보스 추가 피해
트리플,24,21024,169.949,12662.75,탱커·보스 추가 피해
트리플,25,26490,200.540,14942.04,탱커·보스 추가 피해
트리플,26,33378,236.637,17631.61,탱커·보스 추가 피해
트리플,27,42056,279.232,20805.30,탱커·보스 추가 피해
트리플,28,52990,329.494,24550.26,탱커·보스 추가 피해
트리플,29,66767,388.802,28969.31,탱커·보스 추가 피해
트리플,30,84126,458.787,34183.79,탱커·보스 추가 피해
스트레이트,0,96,4.500,981.82,2연쇄 공격
스트레이트,1,121,5.310,1158.55,2연쇄 공격
스트레이트,2,153,6.266,1367.08,2연쇄 공격
스트레이트,3,193,7.394,1613.16,2연쇄 공격
스트레이트,4,242,8.725,1903.53,2연쇄 공격
스트레이트,5,305,10.295,2246.16,2연쇄 공격
스트레이트,6,385,12.148,2650.47,2연쇄 공격
스트레이트,7,485,14.335,3127.56,2연쇄 공격
스트레이트,8,610,16.915,3690.52,2연쇄 공격
스트레이트,9,769,19.960,4354.81,2연쇄 공격
스트레이트,10,969,23.552,5138.68,2연쇄 공격
스트레이트,11,1220,27.792,6063.64,2연쇄 공격
스트레이트,12,1538,32.794,7155.10,2연쇄 공격
스트레이트,13,1937,38.697,8443.01,2연쇄 공격
스트레이트,14,2441,45.663,9962.76,2연쇄 공격
스트레이트,15,3075,53.882,11756.05,2연쇄 공격
스트레이트,16,3875,63.581,13872.14,2연쇄 공격
스트레이트,17,4882,75.025,16369.13,2연쇄 공격
스트레이트,18,6151,88.530,19315.58,2연쇄 공격
스트레이트,19,7751,104.465,22792.38,2연쇄 공격
스트레이트,20,9766,123.269,26895.01,2연쇄 공격
스트레이트,21,12305,145.457,31736.11,2연쇄 공격
스트레이트,22,15504,171.640,37448.62,2연쇄 공격
스트레이트,23,19535,202.535,44189.37,2연쇄 공격
스트레이트,24,24613,238.991,52143.46,2연쇄 공격
스트레이트,25,31013,282.009,61529.29,2연쇄 공격
스트레이트,26,39076,332.771,72604.56,2연쇄 공격
스트레이트,27,49236,392.670,85673.39,2연쇄 공격
스트레이트,28,62037,463.350,101094.60,2연쇄 공격
스트레이트,29,78166,546.753,119291.60,2연쇄 공격
스트레이트,30,98489,645.169,140764.10,2연쇄 공격
플러시,0,110,6.000,759.27,범위 공격
플러시,1,139,7.080,895.94,범위 공격
플러시,2,175,8.354,1057.21,범위 공격
플러시,3,221,9.858,1247.51,범위 공격
플러시,4,278,11.633,1472.06,범위 공격
플러시,5,350,13.727,1737.03,범위 공격
플러시,6,441,16.197,2049.70,범위 공격
플러시,7,555,19.113,2418.65,범위 공격
플러시,8,699,22.553,2854.00,범위 공격
플러시,9,881,26.613,3367.72,범위 공격
플러시,10,1110,31.403,3973.91,범위 공격
플러시,11,1398,37.056,4689.22,범위 공격
플러시,12,1762,43.726,5533.27,범위 공격
플러시,13,2220,51.596,6529.26,범위 공격
플러시,14,2797,60.884,7704.53,범위 공격
플러시,15,3524,71.843,9091.35,범위 공격
플러시,16,4440,84.774,10727.79,범위 공격
플러시,17,5594,100.034,12658.79,범위 공격
플러시,18,7048,118.040,14937.38,범위 공격
플러시,19,8881,139.287,17626.11,범위 공격
플러시,20,11190,164.358,20798.81,범위 공격
플러시,21,14099,193.943,24542.60,범위 공격
플러시,22,17765,228.853,28960.27,범위 공격
플러시,23,22383,270.046,34173.11,범위 공격
플러시,24,28203,318.655,40324.28,범위 공격
플러시,25,35535,376.012,47582.65,범위 공격
플러시,26,44775,443.695,56147.53,범위 공격
플러시,27,56416,523.560,66254.09,범위 공격
플러시,28,71084,617.800,78179.83,범위 공격
플러시,29,89566,729.005,92252.21,범위 공격
플러시,30,112852,860.225,108857.60,범위 공격
풀하우스,0,124,8.500,2614.91,2연쇄+범위
풀하우스,1,157,10.030,3085.59,2연쇄+범위
풀하우스,2,197,11.835,3641.00,2연쇄+범위
풀하우스,3,249,13.966,4296.38,2연쇄+범위
풀하우스,4,313,16.480,5069.73,2연쇄+범위
풀하우스,5,394,19.446,5982.28,2연쇄+범위
풀하우스,6,497,22.946,7059.09,2연쇄+범위
풀하우스,7,626,27.077,8329.73,2연쇄+범위
풀하우스,8,788,31.950,9829.08,2연쇄+범위
풀하우스,9,993,37.701,11598.31,2연쇄+범위
풀하우스,10,1251,44.488,13686.01,2연쇄+범위
풀하우스,11,1576,52.495,16149.49,2연쇄+범위
풀하우스,12,1986,61.945,19056.40,2연쇄+범위
풀하우스,13,2502,73.095,22486.55,2연쇄+범위
풀하우스,14,3153,86.252,26534.14,2연쇄+범위
풀하우스,15,3972,101.777,31310.28,2연쇄+범위
풀하우스,16,5005,120.097,36946.14,2연쇄+범위
풀하우스,17,6306,141.714,43596.45,2연쇄+범위
풀하우스,18,7945,167.223,51443.81,2연쇄+범위
풀하우스,19,10011,197.323,60703.70,2연쇄+범위
풀하우스,20,12614,232.841,71630.37,2연쇄+범위
풀하우스,21,15893,274.752,84523.83,2연쇄+범위
풀하우스,22,20026,324.208,99738.13,2연쇄+범위
풀하우스,23,25232,382.565,117691.00,2연쇄+범위
풀하우스,24,31792,451.427,138875.40,2연쇄+범위
풀하우스,25,40058,532.684,163873.00,2연쇄+범위
풀하우스,26,50473,628.567,193370.10,2연쇄+범위
풀하우스,27,63596,741.709,228176.80,2연쇄+범위
풀하우스,28,80131,875.217,269248.60,2연쇄+범위
풀하우스,29,100965,1032.756,317713.40,2연쇄+범위
풀하우스,30,127215,1218.652,374901.80,2연쇄+범위
포카드,0,138,12.000,1838.25,35% 치명타
포카드,1,174,14.160,2169.14,35% 치명타
포카드,2,220,16.709,2559.59,35% 치명타
포카드,3,277,19.716,3020.31,35% 치명타
포카드,4,348,23.265,3563.97,35% 치명타
포카드,5,439,27.453,4205.48,35% 치명타
포카드,6,553,32.395,4962.47,35% 치명타
포카드,7,696,38.226,5855.71,35% 치명타
포카드,8,877,45.106,6909.74,35% 치명타
포카드,9,1105,53.225,8153.50,35% 치명타
포카드,10,1392,62.806,9621.13,35% 치명타
포카드,11,1754,74.111,11352.93,35% 치명타
포카드,12,2210,87.451,13396.46,35% 치명타
포카드,13,2785,103.192,15807.82,35% 치명타
포카드,14,3509,121.767,18653.23,35% 치명타
포카드,15,4421,143.685,22010.81,35% 치명타
포카드,16,5570,169.548,25972.76,35% 치명타
포카드,17,7018,200.067,30647.86,35% 치명타
포카드,18,8842,236.079,36164.48,35% 치명타
포카드,19,11141,278.574,42674.08,35% 치명타
포카드,20,14038,328.717,50355.43,35% 치명타
포카드,21,17688,387.886,59419.40,35% 치명타
포카드,22,22286,457.705,70114.90,35% 치명타
포카드,23,28081,540.092,82735.59,35% 치명타
포카드,24,35382,637.309,97628.00,35% 치명타
포카드,25,44581,752.025,115201.00,35% 치명타
포카드,26,56172,887.389,135937.20,35% 치명타
포카드,27,70776,1047.119,160406.00,35% 치명타
포카드,28,89178,1235.601,189279.00,35% 치명타
포카드,29,112364,1458.009,223349.30,35% 치명타
포카드,30,141578,1720.451,263552.20,35% 치명타
스트레이트 플러시,0,152,18.000,6106.43,3연쇄+범위
스트레이트 플러시,1,192,21.240,7205.59,3연쇄+범위
스트레이트 플러시,2,242,25.063,8502.60,3연쇄+범위
스트레이트 플러시,3,305,29.575,10033.06,3연쇄+범위
스트레이트 플러시,4,384,34.898,11839.01,3연쇄+범위
스트레이트 플러시,5,483,41.180,13970.04,3연쇄+범위
스트레이트 플러시,6,609,48.592,16484.65,3연쇄+범위
스트레이트 플러시,7,767,57.339,19451.88,3연쇄+범위
스트레이트 플러시,8,966,67.659,22953.22,3연쇄+범위
스트레이트 플러시,9,1217,79.838,27084.81,3연쇄+범위
스트레이트 플러시,10,1534,94.209,31960.07,3연쇄+범위
스트레이트 플러시,11,1932,111.167,37712.89,3연쇄+범위
스트레이트 플러시,12,2434,131.177,44501.21,3연쇄+범위
스트레이트 플러시,13,3067,154.789,52511.43,3연쇄+범위
스트레이트 플러시,14,3864,182.651,61963.50,3연쇄+범위
스트레이트 플러시,15,4869,215.528,73116.92,3연쇄+범위
스트레이트 플러시,16,6135,254.323,86277.98,3연쇄+범위
스트레이트 플러시,17,7730,300.101,101808.00,3연쇄+범위
스트레이트 플러시,18,9739,354.119,120133.50,3연쇄+범위
스트레이트 플러시,19,12272,417.860,141757.50,3연쇄+범위
스트레이트 플러시,20,15462,493.075,167273.90,3연쇄+범위
스트레이트 플러시,21,19482,581.829,197383.20,3연쇄+범위
스트레이트 플러시,22,24547,686.558,232912.20,3연쇄+범위
스트레이트 플러시,23,30930,810.138,274836.30,3연쇄+범위
스트레이트 플러시,24,38971,955.963,324306.90,3연쇄+범위
스트레이트 플러시,25,49103,1128.037,382682.20,3연쇄+범위
스트레이트 플러시,26,61870,1331.084,451565.00,3연쇄+범위
스트레이트 플러시,27,77956,1570.679,532846.80,3연쇄+범위
스트레이트 플러시,28,98225,1853.401,628759.20,3연쇄+범위
스트레이트 플러시,29,123763,2187.013,741935.90,3연쇄+범위
스트레이트 플러시,30,155941,2580.676,875484.30,3연쇄+범위
로열 스트레이트 플러시,0,166,30.000,26298.70,4연쇄+범위+치명타
로열 스트레이트 플러시,1,210,35.400,31032.47,4연쇄+범위+치명타
로열 스트레이트 플러시,2,264,41.772,36618.32,4연쇄+범위+치명타
로열 스트레이트 플러시,3,333,49.291,43209.62,4연쇄+범위+치명타
로열 스트레이트 플러시,4,419,58.163,50987.35,4연쇄+범위+치명타
로열 스트레이트 플러시,5,528,68.633,60165.08,4연쇄+범위+치명타
로열 스트레이트 플러시,6,665,80.987,70994.80,4연쇄+범위+치명타
로열 스트레이트 플러시,7,837,95.564,83773.87,4연쇄+범위+치명타
로열 스트레이트 플러시,8,1055,112.766,98853.16,4연쇄+범위+치명타
로열 스트레이트 플러시,9,1329,133.064,116646.80,4연쇄+범위+치명타
로열 스트레이트 플러시,10,1675,157.015,137643.20,4연쇄+범위+치명타
로열 스트레이트 플러시,11,2110,185.278,162419.00,4연쇄+범위+치명타
로열 스트레이트 플러시,12,2658,218.628,191654.40,4연쇄+범위+치명타
로열 스트레이트 플러시,13,3350,257.981,226152.20,4연쇄+범위+치명타
로열 스트레이트 플러시,14,4220,304.418,266859.60,4연쇄+범위+치명타
로열 스트레이트 플러시,15,5317,359.213,314894.30,4연쇄+범위+치명타
로열 스트레이트 플러시,16,6700,423.871,371575.30,4연쇄+범위+치명타
로열 스트레이트 플러시,17,8442,500.168,438458.90,4연쇄+범위+치명타
로열 스트레이트 플러시,18,10636,590.198,517381.50,4연쇄+범위+치명타
로열 스트레이트 플러시,19,13402,696.434,610510.30,4연쇄+범위+치명타
로열 스트레이트 플러시,20,16886,821.792,720402.10,4연쇄+범위+치명타
로열 스트레이트 플러시,21,21276,969.715,850074.50,4연쇄+범위+치명타
로열 스트레이트 플러시,22,26808,1144.263,1003088.00,4연쇄+범위+치명타
로열 스트레이트 플러시,23,33778,1350.231,1183644.00,4연쇄+범위+치명타
로열 스트레이트 플러시,24,42560,1593.272,1396700.00,4연쇄+범위+치명타
로열 스트레이트 플러시,25,53626,1880.062,1648106.00,4연쇄+범위+치명타
로열 스트레이트 플러시,26,67569,2218.473,1944765.00,4연쇄+범위+치명타
로열 스트레이트 플러시,27,85136,2617.798,2294823.00,4연쇄+범위+치명타
로열 스트레이트 플러시,28,107272,3089.002,2707891.00,4연쇄+범위+치명타
로열 스트레이트 플러시,29,135162,3645.022,3195312.00,4연쇄+범위+치명타
로열 스트레이트 플러시,30,170304,4301.126,3770468.00,4연쇄+범위+치명타
