라운드,몬스터수,소환간격(초),웨이브소환시간(초),기본몬스터개별체력,특수포함총체력,획득가능골드,요구초당피해량(DPS),보스체력,보스보상골드,누적골드,누적골드기준소환횟수,A기준하이합성DPS,A원페어합성DPS,A로열합성DPS,요구하이타워수,요구원페어타워수,요구로열타워수,12카드상태소환비용,예산기반원페어강화레벨,예상원페어필드DPS,DPS충족률,경제압력
27,32,0.531,17.00,244.38,8675.43,360,433.77,0.00,0,5132,205.28,29.89,116.36,26298.70,15,4,1,43,11,8623.84,19.8811,1.2049
28,33,0.515,17.00,266.37,9775.87,381,488.79,0.00,0,5513,220.52,29.89,116.36,26298.70,17,5,1,43,11,8623.84,17.6431,1.2829
29,34,0.500,17.00,290.35,10946.04,431,547.30,0.00,0,5944,237.76,29.89,116.36,26298.70,19,5,1,43,11,8623.84,15.7570,1.2698
30,35,0.486,17.00,316.48,15507.37,491,775.37,3164.77,50,6435,257.40,29.89,116.36,26298.70,26,7,1,43,12,10176.14,13.1243,1.5792
31,36,0.472,17.00,384.76,15775.28,461,788.76,0.00,0,6896,275.84,29.89,116.36,26298.70,27,7,1,43,12,10176.14,12.9014,1.7110
32,37,0.459,17.00,419.39,17614.45,471,880.72,0.00,0,7367,294.68,29.89,116.36,26298.70,30,8,1,43,12,10176.14,11.5543,1.8699
33,38,0.447,17.00,457.14,19656.89,533,982.84,0.00,0,7900,316.00,29.89,116.36,26298.70,33,9,1,43,12,10176.14,10.3538,1.8440
34,39,0.436,17.00,498.28,21924.29,544,1096.22,0.00,0,8444,337.76,29.89,116.36,26298.70,37,10,1,43,13,12007.84,10.9539,2.0151
35,40,0.425,17.00,543.12,24250.51,558,1212.53,0.00,0,9002,360.08,29.89,116.36,26298.70,41,11,1,43,13,12007.84,9.9032,2.1730
36,41,0.415,17.00,592.01,27025.06,569,1351.25,0.00,0,9571,382.84,29.89,116.36,26298.70,46,12,1,43,13,12007.84,8.8864,2.3748
37,42,0.405,17.00,645.29,30941.47,591,1547.07,0.00,0,10162,406.48,29.89,116.36,26298.70,52,14,1,43,13,12007.84,7.7616,2.6177
38,43,0.395,17.00,703.36,34429.57,654,1721.48,0.00,0,10816,432.64,29.89,116.36,26298.70,58,15,1,43,14,14169.25,8.2309,2.6322
39,44,0.386,17.00,766.66,38448.23,681,1922.41,0.00,0,11497,459.88,29.89,116.36,26298.70,65,17,1,43,14,14169.25,7.3706,2.8229
40,45,0.378,17.00,835.66,49972.73,744,2498.64,8356.65,60,12241,489.64,29.89,116.36,26298.70,84,22,1,43,14,14169.25,5.6708,3.3584
41,46,0.370,17.00,1005.10,52064.32,708,2603.22,0.00,0,12949,517.96,29.89,116.36,26298.70,88,23,1,43,14,14169.25,5.4430,3.6769
42,47,0.362,17.00,1095.56,57845.67,720,2892.28,0.00,0,13669,546.76,29.89,116.36,26298.70,97,25,1,43,15,16719.72,5.7808,4.0171
43,48,0.354,17.00,1194.16,64245.95,794,3212.30,0.00,0,14463,578.52,29.89,116.36,26298.70,108,28,1,43,15,16719.72,5.2049,4.0457
44,49,0.347,17.00,1301.64,73021.84,820,3651.09,0.00,0,15283,611.32,29.89,116.36,26298.70,123,32,1,43,15,16719.72,4.5794,4.4526
45,50,0.340,17.00,1418.79,80516.03,836,4025.80,0.00,0,16119,644.76,29.89,116.36,26298.70,135,35,1,43,15,16719.72,4.1531,4.8156
46,51,0.333,17.00,1546.48,89308.95,849,4465.45,0.00,0,16968,678.72,29.89,116.36,26298.70,150,39,1,43,16,19729.27,4.4182,5.2597
47,52,0.327,17.00,1685.66,99032.41,862,4951.62,0.00,0,17830,713.20,29.89,116.36,26298.70,166,43,1,43,16,19729.27,3.9844,5.7443
48,53,0.321,17.00,1837.37,109782.70,875,5489.14,0.00,0,18705,748.20,29.89,116.36,26298.70,184,48,1,43,16,19729.27,3.5942,6.2733
49,54,0.315,17.00,2002.73,121665.90,953,6083.29,0.00,0,19658,786.32,29.89,116.36,26298.70,204,53,1,43,16,19729.27,3.2432,6.3833
50,55,0.309,17.00,2182.98,154882.20,1041,7744.11,21829.76,70,20699,827.96,29.89,116.36,26298.70,260,67,1,43,16,19729.27,2.5476,7.4391
51,56,0.304,17.00,2618.13,168215.00,1013,8410.75,0.00,0,21712,868.48,29.89,116.36,26298.70,282,73,1,43,16,19729.27,2.3457,8.3028
52,57,0.298,17.00,2870.89,187325.40,1027,9366.27,0.00,0,22739,909.56,29.89,116.36,26298.70,314,81,1,43,17,23280.54,2.4856,9.1200
53,58,0.293,17.00,3148.04,208557.80,1041,10427.89,0.00,0,23780,951.20,29.89,116.36,26298.70,349,90,1,43,17,23280.54,2.2325,10.0172
54,59,0.288,17.00,3451.96,232144.00,1055,11607.20,0.00,0,24835,993.40,29.89,116.36,26298.70,389,100,1,43,17,23280.54,2.0057,11.0021
55,60,0.283,17.00,3785.21,257015.50,1072,12850.78,0.00,0,25907,1036.28,29.89,116.36,26298.70,430,111,1,43,17,23280.54,1.8116,11.9877
56,61,0.279,17.00,4150.63,285978.50,1160,14298.92,0.00,0,27067,1082.68,29.89,116.36,26298.70,479,123,1,43,17,23280.54,1.6281,12.3267
57,62,0.274,17.00,4551.33,318138.20,1175,15906.91,0.00,0,28242,1129.68,29.89,116.36,26298.70,533,137,1,43,18,27471.04,1.7270,13.5378
58,63,0.270,17.00,4990.72,360330.00,1205,18016.50,0.00,0,29447,1177.88,29.89,116.36,26298.70,603,155,1,43,18,27471.04,1.5248,14.9515
59,64,0.266,17.00,5472.52,400588.80,1220,20029.44,0.00,0,30667,1226.68,29.89,116.36,26298.70,671,173,1,43,18,27471.04,1.3715,16.4176
60,65,0.262,17.00,6000.84,497169.80,1298,24858.49,60008.42,75,31965,1278.60,29.89,116.36,26298.70,832,214,1,43,18,27471.04,1.1051,19.1514
61,66,0.258,17.00,7144.18,536170.60,1364,26808.53,0.00,0,33329,1333.16,29.89,116.36,26298.70,897,231,2,43,18,27471.04,1.0247,19.6544
62,67,0.254,17.00,7833.88,595766.40,1380,29788.32,0.00,0,34709,1388.36,29.89,116.36,26298.70,997,256,2,43,18,27471.04,0.9222,21.5857
63,68,0.250,17.00,8590.16,661871.90,1396,33093.60,0.00,0,36105,1444.20,29.89,116.36,26298.70,1108,285,2,43,18,27471.04,0.8301,23.7060
64,69,0.246,17.00,9419.46,735188.60,1412,36759.43,0.00,0,37517,1500.68,29.89,116.36,26298.70,1230,316,2,43,19,32415.83,0.8818,26.0336
65,70,0.243,17.00,10328.81,829919.90,1444,41496.00,0.00,0,38961,1558.44,29.89,116.36,26298.70,1389,357,2,43,19,32415.83,0.7812,28.7368
66,71,0.239,17.00,11325.96,921366.40,1460,46068.32,0.00,0,40421,1616.84,29.89,116.36,26298.70,1542,396,2,43,19,32415.83,0.7036,31.5536
67,72,0.236,17.00,12419.36,1022735.00,1570,51136.73,0.00,0,41991,1679.64,29.89,116.36,26298.70,1711,440,2,43,19,32415.83,0.6339,32.5712
68,73,0.233,17.00,13618.33,1135088.00,1587,56754.39,0.00,0,43578,1743.12,29.89,116.36,26298.70,1899,488,3,43,19,32415.83,0.5712,35.7621
69,74,0.230,17.00,14933.04,1259602.00,1604,62980.12,0.00,0,45182,1807.28,29.89,116.36,26298.70,2107,542,3,43,19,32415.83,0.5147,39.2644
70,75,0.227,17.00,16374.68,1539220.00,1693,76961.00,163746.80,85,46875,1875.00,29.89,116.36,26298.70,2575,662,3,43,20,38250.68,0.4970,45.4584
71,76,0.224,17.00,19373.03,1666081.00,1642,83304.05,0.00,0,48517,1940.68,29.89,116.36,26298.70,2787,716,4,43,20,38250.68,0.4592,50.7333
72,77,0.221,17.00,21243.31,1852416.00,1775,92620.82,0.00,0,50292,2011.68,29.89,116.36,26298.70,3099,796,4,43,20,38250.68,0.4130,52.1807
73,78,0.218,17.00,23294.14,2054543.00,1793,102727.10,0.00,0,52085,2083.40,29.89,116.36,26298.70,3437,883,4,43,20,38250.68,0.3724,57.2934
74,79,0.215,17.00,25542.96,2278432.00,1811,113921.60,0.00,0,53896,2155.84,29.89,116.36,26298.70,3812,980,5,43,20,38250.68,0.3358,62.9054
75,80,0.213,17.00,28008.87,2516597.00,1833,125829.90,0.00,0,55729,2229.16,29.89,116.36,26298.70,4210,1082,5,43,20,38250.68,0.3040,68.6470
76,81,0.210,17.00,30712.85,2790263.00,1851,139513.10,0.00,0,57580,2303.20,29.89,116.36,26298.70,4668,1199,6,43,20,38250.68,0.2742,75.3718
77,82,0.207,17.00,33677.88,3093313.00,1968,154665.60,0.00,0,59548,2381.92,29.89,116.36,26298.70,5175,1330,6,43,20,38250.68,0.2473,78.5903
78,83,0.205,17.00,36929.14,3428871.00,1987,171443.50,0.00,0,61535,2461.40,29.89,116.36,26298.70,5736,1474,7,43,21,45135.80,0.2633,86.2826
79,84,0.202,17.00,40494.28,3853031.00,2025,192651.50,0.00,0,63560,2542.40,29.89,116.36,26298.70,6446,1656,8,43,21,45135.80,0.2343,95.1366
80,85,0.200,17.00,44403.60,4653498.00,2124,232674.90,444036.00,95,65684,2627.36,29.89,116.36,26298.70,7785,2000,9,43,21,45135.80,0.1940,109.5456
81,86,0.198,17.00,52253.04,5058094.00,2171,252904.70,0.00,0,67855,2714.20,29.89,116.36,26298.70,8461,2174,10,43,21,45135.80,0.1785,116.4923
82,87,0.195,17.00,57297.55,5603701.00,2191,280185.00,0.00,0,70046,2801.84,29.89,116.36,26298.70,9374,2408,11,43,21,45135.80,0.1611,127.8800
83,88,0.193,17.00,62829.06,6220077.00,2236,311003.80,0.00,0,72282,2891.28,29.89,116.36,26298.70,10405,2673,12,43,21,45135.80,0.1451,139.0894
84,89,0.191,17.00,68894.59,6889459.00,2256,344472.90,0.00,0,74538,2981.52,29.89,116.36,26298.70,11525,2961,14,43,21,45135.80,0.1310,152.6919
85,90,0.189,17.00,75545.67,7603672.00,2280,380183.60,0.00,0,76818,3072.72,29.89,116.36,26298.70,12720,3268,15,43,21,45135.80,0.1187,166.7472
86,91,0.187,17.00,82838.86,8528261.00,2454,426413.10,0.00,0,79272,3170.88,29.89,116.36,26298.70,14266,3665,17,43,22,53260.25,0.1249,173.7625
87,92,0.185,17.00,90836.13,9442415.00,2475,472120.80,0.00,0,81747,3269.88,29.89,116.36,26298.70,15795,4058,18,43,22,53260.25,0.1128,190.7559
88,93,0.183,17.00,99605.45,10453590.00,2496,522679.60,0.00,0,84243,3369.72,29.89,116.36,26298.70,17487,4492,20,43,22,53260.25,0.1019,209.4069
89,94,0.181,17.00,109221.40,11572010.00,2517,578600.30,0.00,0,86760,3470.40,29.89,116.36,26298.70,19358,4973,23,43,22,53260.25,0.0921,229.8769
90,95,0.179,17.00,119765.60,13844900.00,2746,692245.20,1197656.00,110,89506,3580.24,29.89,116.36,26298.70,23160,5949,27,43,22,53260.25,0.0769,252.0922
91,96,0.177,17.00,140282.00,15094340.00,2680,754717.00,0.00,0,92186,3687.44,29.89,116.36,26298.70,25250,6486,29,43,22,53260.25,0.0706,281.6108
92,97,0.175,17.00,153824.80,16705370.00,2702,835268.60,0.00,0,94888,3795.52,29.89,116.36,26298.70,27944,7179,32,43,22,53260.25,0.0638,309.1298
93,98,0.173,17.00,168675.10,18706060.00,2746,935303.20,0.00,0,97634,3905.36,29.89,116.36,26298.70,31291,8038,36,43,22,53260.25,0.0569,340.6057
94,99,0.172,17.00,184959.00,20733900.00,2917,1036695.00,0.00,0,100551,4022.04,29.89,116.36,26298.70,34683,8910,40,43,23,62847.10,0.0606,355.3977
95,100,0.170,17.00,202814.90,22867380.00,2945,1143369.00,0.00,0,103496,4139.84,29.89,116.36,26298.70,38252,9826,44,43,23,62847.10,0.0550,388.2408
96,101,0.168,17.00,222394.70,25297400.00,2968,1264870.00,0.00,0,106464,4258.56,29.89,116.36,26298.70,42317,10870,49,43,23,62847.10,0.0497,426.1691
97,102,0.167,17.00,243864.70,27983470.00,3115,1399174.00,0.00,0,109579,4383.16,29.89,116.36,26298.70,46810,12025,54,43,23,62847.10,0.0449,449.1729
98,103,0.165,17.00,267407.40,30952410.00,3139,1547620.00,0.00,0,112718,4508.72,29.89,116.36,26298.70,51776,13300,59,43,23,62847.10,0.0406,493.0297
99,104,0.163,17.00,293222.90,34233780.00,3163,1711689.00,0.00,0,115881,4635.24,29.89,116.36,26298.70,57265,14710,66,43,23,62847.10,0.0367,541.1599
100,105,0.162,17.00,321530.70,41172000.00,3307,2058600.00,3215307.00,120,119188,4767.52,29.89,116.36,26298.70,68871,17692,79,43,23,62847.10,0.0305,622.4978
101,106,0.160,17.00,375075.80,45027850.00,3390,2251393.00,0.00,0,122578,4903.12,29.89,116.36,26298.70,75321,19348,86,43,23,62847.10,0.0279,664.1276
102,107,0.159,17.00,411285.70,49786130.00,3415,2489307.00,0.00,0,125993,5039.72,29.89,116.36,26298.70,83280,21393,95,43,23,62847.10,0.0252,728.9331
103,108,0.157,17.00,450991.20,55043480.00,3440,2752174.00,0.00,0,129433,5177.32,29.89,116.36,26298.70,92074,23652,105,43,24,74159.59,0.0269,800.0506
104,109,0.156,17.00,494529.90,60851910.00,3597,3042596.00,0.00,0,133030,5321.20,29.89,116.36,26298.70,101790,26148,116,43,24,74159.59,0.0244,845.8703
105,110,0.155,17.00,542271.90,67377290.00,3656,3368865.00,0.00,0,136686,5467.44,29.89,116.36,26298.70,112706,28952,129,43,24,74159.59,0.0220,921.4619
106,111,0.153,17.00,594622.90,74476510.00,3682,3723826.00,0.00,0,140368,5614.72,29.89,116.36,26298.70,124581,32002,142,43,24,74159.59,0.0199,1011.3590
107,112,0.152,17.00,652027.80,83166140.00,3734,4158307.00,0.00,0,144102,5764.08,29.89,116.36,26298.70,139117,35736,159,43,24,74159.59,0.0178,1113.6330
108,113,0.150,17.00,714974.60,91909980.00,3898,4595499.00,0.00,0,148000,5920.00,29.89,116.36,26298.70,153743,39493,175,43,24,74159.59,0.0161,1178.9380
109,114,0.149,17.00,783998.40,101567000.00,3925,5078350.00,0.00,0,151925,6077.00,29.89,116.36,26298.70,169897,43643,194,43,24,74159.59,0.0146,1293.8470
110,115,0.148,17.00,859685.60,119668200.00,4066,5983412.00,8596856.00,135,155991,6239.64,29.89,116.36,26298.70,200175,51420,228,43,24,74159.59,0.0124,1471.5720
111,116,0.147,17.00,999240.60,131100400.00,4126,6555018.00,0.00,0,160117,6404.68,29.89,116.36,26298.70,219299,56333,250,43,24,74159.59,0.0113,1588.7100
112,117,0.145,17.00,1095707.00,144852500.00,4154,7242626.00,0.00,0,164271,6570.84,29.89,116.36,26298.70,242302,62242,276,43,24,74159.59,0.0102,1743.5300
113,118,0.144,17.00,1201487.00,160038100.00,4182,8001903.00,0.00,0,168453,6738.12,29.89,116.36,26298.70,267704,68767,305,43,25,87508.32,0.0109,1913.4150
114,119,0.143,17.00,1317479.00,178518400.00,4393,8925918.00,0.00,0,172846,6913.84,29.89,116.36,26298.70,298617,76708,340,43,25,87508.32,0.0098,2031.8500
115,120,0.142,17.00,1444668.00,196691600.00,4428,9834578.00,0.00,0,177274,7090.96,29.89,116.36,26298.70,329016,84516,374,43,25,87508.32,0.0089,2220.9980
116,121,0.140,17.00,1584137.00,217581200.00,4494,10879060.00,0.00,0,181768,7270.72,29.89,116.36,26298.70,363959,93492,414,43,25,87508.32,0.0080,2420.7960
117,122,0.139,17.00,1737069.00,240323500.00,4672,12016180.00,0.00,0,186440,7457.60,29.89,116.36,26298.70,402002,103265,457,43,25,87508.32,0.0073,2571.9560
118,123,0.138,17.00,1904766.00,265429100.00,4702,13271460.00,0.00,0,191142,7645.68,29.89,116.36,26298.70,443997,114052,505,43,25,87508.32,0.0066,2822.5130
119,124,0.137,17.00,2088652.00,293142300.00,4732,14657120.00,0.00,0,195874,7834.96,29.89,116.36,26298.70,490354,125960,558,43,25,87508.32,0.0060,3097.4470
120,125,0.136,17.00,2290291.00,343543600.00,5064,17177180.00,22902910.00,155,200938,8037.52,29.89,116.36,26298.70,574663,147617,654,43,25,87508.32,0.0051,3392.0180
121,126,0.135,17.00,2653550.00,380253800.00,5002,19012690.00,0.00,0,205940,8237.60,29.89,116.36,26298.70,636070,163391,723,43,25,87508.32,0.0046,3801.0170
122,127,0.134,17.00,2909724.00,419873200.00,5188,20993660.00,0.00,0,211128,8445.12,29.89,116.36,26298.70,702343,180415,799,43,25,87508.32,0.0042,4046.5810
123,128,0.133,17.00,3190629.00,463598400.00,5220,23179920.00,0.00,0,216348,8653.92,29.89,116.36,26298.70,775484,199203,882,43,26,103259.80,0.0045,4440.5980
124,129,0.132,17.00,3498653.00,511852900.00,5252,25592640.00,0.00,0,221600,8864.00,29.89,116.36,26298.70,856202,219937,974,43,26,103259.80,0.0040,4872.9330
125,130,0.131,17.00,3836413.00,563760900.00,5460,28188040.00,0.00,0,227060,9082.40,29.89,116.36,26298.70,943031,242242,1072,43,26,103259.80,0.0037,5162.6460
126,131,0.130,17.00,4206781.00,622393200.00,5493,31119660.00,0.00,0,232553,9302.12,29.89,116.36,26298.70,1041108,267435,1184,43,26,103259.80,0.0033,5665.3300
127,132,0.129,17.00,4612904.00,688014500.00,5568,34400730.00,0.00,0,238121,9524.84,29.89,116.36,26298.70,1150876,295632,1309,43,26,103259.80,0.0030,6178.2920
128,133,0.128,17.00,5058234.00,766069400.00,5797,38303470.00,0.00,0,243918,9756.72,29.89,116.36,26298.70,1281443,329171,1457,43,26,103259.80,0.0027,6607.4640
129,134,0.127,17.00,5546556.00,845572500.00,5831,42278620.00,0.00,0,249749,9989.96,29.89,116.36,26298.70,1414431,363332,1608,43,26,103259.80,0.0024,7250.6650
130,135,0.126,17.00,6082021.00,985895600.00,6177,49294780.00,60820210.00,175,255926,10237.04,29.89,116.36,26298.70,1649157,423628,1875,43,26,103259.80,0.0021,7980.3750
131,136,0.125,17.00,7026457.00,1082777000.00,6072,54138860.00,0.00,0,261998,10479.92,29.89,116.36,26298.70,1811215,465256,2059,43,26,103259.80,0.0019,8916.1480
132,137,0.124,17.00,7704792.00,1195013000.00,6296,59750660.00,0.00,0,268294,10731.76,29.89,116.36,26298.70,1998958,513483,2272,43,26,103259.80,0.0017,9490.2570
133,138,0.123,17.00,8448613.00,1318829000.00,6332,65941430.00,0.00,0,274626,10985.04,29.89,116.36,26298.70,2206070,566685,2508,43,26,103259.80,0.0016,10414.0000
134,139,0.122,17.00,9264243.00,1455413000.00,6368,72770630.00,0.00,0,280994,11239.76,29.89,116.36,26298.70,2434541,625373,2768,43,27,121846.60,0.0017,11427.5500
135,140,0.121,17.00,10158610.00,1619283000.00,6623,80964140.00,0.00,0,287617,11504.68,29.89,116.36,26298.70,2708655,695786,3079,43,27,121846.60,0.0015,12224.6900
136,141,0.121,17.00,11139330.00,1786748000.00,6660,89337400.00,0.00,0,294277,11771.08,29.89,116.36,26298.70,2988782,767744,3398,43,27,121846.60,0.0014,13414.0200
137,142,0.120,17.00,12214720.00,1971455000.00,6870,98572780.00,0.00,0,301147,12045.88,29.89,116.36,26298.70,3297751,847110,3749,43,27,121846.60,0.0012,14348.2900
138,143,0.119,17.00,13393930.00,2177853000.00,6956,108892600.00,0.00,0,308103,12324.12,29.89,116.36,26298.70,3643002,935797,4141,43,27,121846.60,0.0011,15654.4900
139,144,0.118,17.00,14686980.00,2402790000.00,7170,120139500.00,0.00,0,315273,12610.92,29.89,116.36,26298.70,4019266,1032449,4569,43,27,121846.60,0.0010,16755.8600
140,145,0.117,17.00,16104860.00,2790167000.00,7373,139508400.00,161048600.00,195,322646,12905.84,29.89,116.36,26298.70,4667250,1198900,5305,43,27,121846.60,0.0009,18921.5200
141,146,0.116,17.00,18557570.00,3066639000.00,7256,153331900.00,0.00,0,329902,13196.08,29.89,116.36,26298.70,5129718,1317697,5831,43,27,121846.60,0.0008,21131.7400
142,147,0.116,17.00,20349120.00,3409495000.00,7514,170474800.00,0.00,0,337416,13496.64,29.89,116.36,26298.70,5703232,1465018,6483,43,27,121846.60,0.0007,22687.6200
143,148,0.115,17.00,22313630.00,3760962000.00,7554,188048100.00,0.00,0,344970,13798.80,29.89,116.36,26298.70,6291147,1616039,7151,43,27,121846.60,0.0006,24893.8400
144,149,0.114,17.00,24467790.00,4148514000.00,7812,207425700.00,0.00,0,352782,14111.28,29.89,116.36,26298.70,6939424,1782565,7888,43,27,121846.60,0.0006,26552.1900
145,150,0.113,17.00,26829910.00,4566451000.00,7862,228322500.00,0.00,0,360644,14425.76,29.89,116.36,26298.70,7638528,1962147,8682,43,28,143779.00,0.0006,29041.2800
146,151,0.113,17.00,29420070.00,5036717000.00,8087,251835800.00,0.00,0,368731,14749.24,29.89,116.36,26298.70,8425164,2164215,9576,43,28,143779.00,0.0006,31140.8200
147,152,0.112,17.00,32260290.00,5555222000.00,8129,277761100.00,0.00,0,376860,15074.40,29.89,116.36,26298.70,9292494,2387010,10562,43,28,143779.00,0.0005,34169.1600
148,153,0.111,17.00,35374700.00,6126898000.00,8357,306344900.00,0.00,0,385217,15408.68,29.89,116.36,26298.70,10248765,2632652,11649,43,28,143779.00,0.0005,36657.2800
149,154,0.110,17.00,38789780.00,6764937000.00,8454,338246800.00,0.00,0,393671,15746.84,29.89,116.36,26298.70,11316044,2906809,12862,43,28,143779.00,0.0004,40010.2700
150,155,0.110,17.00,42534540.00,7828483000.00,8871,391424100.00,425345400.00,220,402542,16101.68,29.89,116.36,26298.70,13095089,3363802,14884,43,28,143779.00,0.0004,44124.0200
